
250, 50, 250, 10, 20, par, par 2 pragmas 8, 335799.45
250, 50, 250, 15, 20, par, par 2 pragmas 8, 356330.45
500, 50, 250, 10, 20, par, par 2 pragmas 8, 860809.95
500, 50, 250, 15, 20, par, par 2 pragmas 8, 968449.8
1000, 50, 250, 10, 20, par,  par 2 pragma 8, 2531353.1
1000, 50, 250, 15, 20, par, par 2 pragmas 8, 2595580.65
250, 100, 250, 10, 20, par, par 2 pragmas 8, 684726.9
250, 100, 250, 15, 20, par, par 2 pragmas 8, 689334.85
500, 100, 250, 10, 20, par, par 2 pragmas 8, 1661584.0
500, 100, 250, 15, 20, par, par 2 pragmas 8, 1609818.4
1000, 100, 250, 10, 20, par, par 2 pragmas 8, 4827868.15
1000, 100, 250, 15, 20, par, par 2 pragmas 8, 4820667.25
250, 200, 250, 10, 20, par, par 2 pragmas 8, 1204022.55
250, 200, 250, 15, 20, par,  par 2 pragma 8, 1214613.7
500, 200, 250, 10, 20, par, par 2 pragmas 8, 3190116.25
500, 200, 250, 15, 20, par, par 2 pragmas 8, 3193077.1
1000, 200, 250, 10, 20, par, par 2 pragmas 8, 9746514.35
1000, 200, 250, 15, 20, par, par 2 pragmas 8, 9643799.2

250, 50, 250, 10, 20, par, par 2 pragmas 16, 349880.6
250, 50, 250, 15, 20, par,  par 2 pragma 16, 331165.3
500, 50, 250, 10, 20, par, par 2 pragmas 16, 816307.4
500, 50, 250, 15, 20, par, par 2 pragmas 16, 832587.8
1000, 50, 250, 10, 20, par, par 2 pragmas 16, 2440092.75
1000, 50, 250, 15, 20, par, par 2 pragmas 16, 2424333.0
250, 100, 250, 10, 20, par, par 2 pragmas 16, 661279.55
250, 100, 250, 15, 20, par, par 2 pragmas 16, 611480.6
500, 100, 250, 10, 20, par, par 2 pragmas 16, 1653223.25
500, 100, 250, 15, 20, par, par 2 pragmas 16, 1719757.75
1000, 100, 250, 10, 20, par, par 2 pragmas 16, 4972008.45
1000, 100, 250, 15, 20, par, par 2 pragmas 16, 4819154.3
250, 200, 250, 10, 20, par, par 2 pragmas 16, 1235646.7
250, 200, 250, 15, 20, par, par 2 pragmas 16, 1336131.55
500, 200, 250, 10, 20, par, par 2 pragmas 16, 3288842.85
500, 200, 250, 15, 20, par, par 2 pragmas 16, 3209369.7
1000, 200, 250, 10, 20, par, par 2 pragmas 16, 9632163.5
1000, 200, 250, 15, 20, par, par 2 pragmas 16, 9633989.7

250, 50, 250, 10, 20, par, par 2 pragmas 4, 309354.05
250, 50, 250, 15, 20, par, par 2 pragma 4, 347116.65
500, 50, 250, 10, 20, par, par 2 pragmas 4, 839353.9
500, 50, 250, 15, 20, par,  par 2 pragma 4, 834381.55
1000, 50, 250, 10, 20, par, par 2 pragmas 4, 2443761.1
1000, 50, 250, 15, 20, par,  par 2 pragma 4, 2444366.05
250, 100, 250, 10, 20, par, par 2 pragmas 4, 644990.3
250, 100, 250, 15, 20, par,  par 2 pragma 4, 619194.2
500, 100, 250, 10, 20, par, par 2 pragmas 4, 1611538.1
500, 100, 250, 15, 20, par,  par 2 pragma 4, 1633918.7
1000, 100, 250, 10, 20, par, par 2 pragmas 4, 5018885.6
1000, 100, 250, 15, 20, par,  par 2 pragma 4, 4896833.95
250, 200, 250, 10, 20, par, par 2 pragmas 4, 1197031.1
250, 200, 250, 15, 20, par,  par 2 pragma 4, 1232283.4
500, 200, 250, 10, 20, par, par 2 pragmas 4, 3320444.7
500, 200, 250, 15, 20, par,  par 2 pragma 4, 3214166.25
1000, 200, 250, 10, 20, par, par 2 pragmas 4, 9658760.1
1000, 200, 250, 15, 20, par,  par 2 pragma 4, 9681227.0

250, 50, 250, 10, 20, par, par 2 pragma 2, 516000.05
250, 50, 250, 15, 20, par, par 2 pragma 2, 524320.65
500, 50, 250, 10, 20, par, par 2 pragma 2, 1390281.45
500, 50, 250, 15, 20, par, par 2 pragma 2, 1376962.75
1000, 50, 250, 10, 20, par, par 2 pragma 2, 4208513.45
1000, 50, 250, 15, 20, par, par 2 pragma 2, 4194978.05
250, 100, 250, 10, 20, par, par 2 pragma 2, 1013973.45
250, 100, 250, 15, 20, par, par 2 pragma 2, 1012341.7
500, 100, 250, 10, 20, par, par 2 pragma 2, 2726318.2
500, 100, 250, 15, 20, par, par 2 pragma 2, 2714451.4
1000, 100, 250, 10, 20, par, par 2 pragma 2, 8349945.25
1000, 100, 250, 15, 20, par, par 2 pragma 2, 8406650.55
250, 200, 250, 10, 20, par, par 2 pragma 2, 2091761.05
250, 200, 250, 15, 20, par, par 2 pragma 2, 2030266.6
