
250, 50, 250, 10, 20, par, par 2 pragma 16, 334511.25
250, 50, 500, 10, 20, par, par 2 pragma 16, 533680.95
250, 50, 1000, 10, 20, par, par 2 pragma 16, 870426.25
250, 100, 250, 10, 20, par, par 2 pragma 16, 616034.85
250, 100, 500, 10, 20, par, par 2 pragma 16, 991062.75
250, 100, 1000, 10, 20, par, par 2 pragma 16, 1743738.55
250, 200, 250, 10, 20, par, par 2 pragma 16, 1227434.3
250, 200, 500, 10, 20, par, par 2 pragma 16, 1917604.4
250, 200, 1000, 10, 20, par, par 2 pragma 16, 3461813.4

250, 50, 250, 10, 20, par, par 2 pragma 8, 326450.3
250, 50, 500, 10, 20, par, par 2 pragma 8, 510584.9
250, 50, 1000, 10, 20, par, par 2 pragma 8, 886739.25
250, 100, 250, 10, 20, par, par 2 pragma 8, 608998.9
250, 100, 500, 10, 20, par, par 2 pragma 8, 1068764.0
250, 100, 1000, 10, 20, par, par 2 pragma 8, 1710791.1
250, 200, 250, 10, 20, par, par 2 pragma 8, 1326102.45
250, 200, 500, 10, 20, par, par 2 pragma 8, 1951346.6
250, 200, 1000, 10, 20, par, par 2 pragma 8, 3423456.7

250, 50, 250, 10, 20, par, par 2 pragma 4, 316360.8
250, 50, 500, 10, 20, par, par 2 pragma 4, 513874.95
250, 50, 1000, 10, 20, par, par 2 pragma 4, 873556.65
250, 100, 250, 10, 20, par, par 2 pragma 4, 599126.5
250, 100, 500, 10, 20, par, par 2 pragma 4, 1068782.0
250, 100, 1000, 10, 20, par, par 2 pragma 4, 1728092.7
250, 200, 250, 10, 20, par, par 2 pragma 4, 1233422.9
250, 200, 500, 10, 20, par, par 2 pragma 4, 1891403.85
250, 200, 1000, 10, 20, par, par 2 pragma 4, 3384119.65


250, 50, 250, 10, 20, par, par 2 pragma 2, 522480.9
250, 50, 500, 10, 20, par, par 2 pragma 2, 827501.45
250, 50, 1000, 10, 20, par, par 2 pragma 2, 1496793.2
250, 100, 250, 10, 20, par, par 2 pragma 2, 1008960.15
250, 100, 500, 10, 20, par, par 2 pragma 2, 1637426.75
250, 100, 1000, 10, 20, par, par 2 pragma 2, 2953893.0
250, 200, 250, 10, 20, par, par 2 pragma 2, 2011208.75
250, 100, 500, 10, 20, par, par 2 pragma 2, 1646793.45
250, 200, 1000, 10, 20, par, par 2 pragma 2, 5942269.7


250, 50, 500, 10, 20, par, par 2 pragma 1, 1593526.05
250, 50, 1000, 10, 20, par, par 2 pragma 1, 2806898.65
250, 50, 250, 10, 20, par, par 2 pragma 1, 1037778.95


