
250, 50, 250, 10, 20, seq, secuencial, 894132.05
250, 50, 250, 15, 20, seq, secuencial, 918757.9
500, 50, 250, 10, 20, seq, secuencial, 2361706.85
500, 50, 250, 15, 20, seq, secuencial, 2421965.55
1000, 50, 250, 10, 20, seq, secuencial, 7133044.5
1000, 50, 250, 15, 20, seq, secuencial, 7147406.35
250, 100, 250, 10, 20, seq, secuencial, 1763117.0
250, 100, 250, 15, 20, seq, secuencial, 1785427.95
500, 100, 250, 10, 20, seq, secuencial, 4725744.0
500, 100, 250, 15, 20, seq, secuencial, 4710363.85
1000, 100, 250, 10, 20, seq, secuencial, 14260995.7
1000, 100, 250, 15, 20, seq, secuencial, 14242500.1
250, 200, 250, 10, 20, seq, secuencial, 3553531.0
500, 200, 250, 10, 20, seq, secuencial, 9422227.05
250, 200, 250, 15, 20, seq, secuencial, 3494554.95
500, 200, 250, 15, 20, seq, secuencial, 9467063.0
1000, 200, 250, 10, 20, seq, secuencial, 28530764.55
1000, 200, 250, 15, 20, seq, secuencial, 28613299.55
