
250, 50, 250, 10, 20, par, par 2 pragma 16, 334511.25
250, 50, 500, 10, 20, par, par 2 pragma 16, 533680.95
250, 50, 1000, 10, 20, par, par 2 pragma 16, 870426.25
250, 100, 250, 10, 20, par, par 2 pragma 16, 616034.85
250, 100, 500, 10, 20, par, par 2 pragma 16, 991062.75
250, 100, 1000, 10, 20, par, par 2 pragma 16, 1743738.55
250, 200, 250, 10, 20, par, par 2 pragma 16, 1227434.3
250, 200, 500, 10, 20, par, par 2 pragma 16, 1917604.4
250, 200, 1000, 10, 20, par, par 2 pragma 16, 3461813.4
250, 50, 500, 10, 20, par, par 2 pragma 8, 510584.9
250, 100, 500, 10, 20, par, par 2 pragma 8, 1068764.0
250, 200, 500, 10, 20, par, par 2 pragma 8, 1951346.6
250, 50, 500, 10, 20, par, par 2 pragma 4, 548223.05
250, 100, 500, 10, 20, par, par 2 pragma 4, 1068782.0
250, 200, 500, 10, 20, par, par 2 pragma 4, 1891403.85
